ngay;so_xe;chuyen;tai_xe;diem_giao_nhan;phien_boc;xu_ly;lo_trinh;so_km;kl_dct;drc_dc;kl_dkt;drc_dk;kl_dt;drc_d
01/01/2026;5B;1;Then Thin;Q7,P11;Phiên A,Phiên B;Xé;J7;9;6480;49,48;;;70;65
01/01/2026;7B;1;Mao Borey;U2,P3;Phiên D;Xé;P3,U2;15;7400;48,7;;;26;65
01/01/2026;8B;1;Nut An;T7,U11;Phiên A,Phiên B;Xé;T7,U11;16;7230;49,02;;;42;65
02/01/2026;7B;1;Mao Borey;T7,U11;Phiên D;Xé;U11,T7;16;6530;49,1;;;38;65
02/01/2026;8B;1;Nut An;H11;Phiên A,Phiên B;Xé;H11;14;6750;48,72;;;57;65
02/01/2026;9B;1;Ren Makara;U2,P3;Phiên B,Phiên C;Xé;U2,P3;15;7910;49,03;;;34;65
02/01/2026;2A;1;Vorn Voeun;D9;Phiên B,Phiên C;Xé;D9;16;4740;48,51;;;0;0
02/01/2026;22A;2;Soem Soeur;B5;Phiên B , Phiên C;Xé;B5;18;4280;48,51;;;92;65
03/01/2026;5B;1;Then Thin;E1;Phiên C,Phiên D;Xé;E1;19;6350;48,42;;;0;0
03/01/2026;7B;1;Mao Borey;C16;Phiên B,Phiên C;Xé;C16;27;9460;48,69;;;50;65
03/01/2026;8B;1;Nut An;G3;Phiên C,Phiên D;Xé;G3;12;7260;48,42;;;55;65
